Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (Enlace);CTR (Enlace);ROAS;Tasa de resultados;Clics (todos);CPC (Anuncio);CTR (Anuncio);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado
55-64;male;84;92;1.095.238.095;;;1.85;2.010.869.565;3;0.61666667;3.260.869.565;;;3;0.61666667;326.086.957;;;54;;;;
65+;female;74;74;1;;;1.84;2.486.486.486;2;0.92;2.702.702.703;;;3;0.61333333;405.405.405;;;33;;;;
45-54;female;58;58;1;;;1.82;3.137.931.034;;;;;;0;;0;;;19;;;;
65+;unknown;32;79;246.875;1;1.82;1.82;2.303.797.468;4;0.455;5.063.291.139;16.44;1.265.822.785;7;0.26;886.075.949;;1;43;1;29.92;2;0.91
18-24;male;204;206;1.009.803.922;;;1.79;868.932.039;2;0.895;0.970873786;;;2;0.895;0.97087379;;;97;2;;;
18-24;male;208;222;1.067.307.692;;;1.78;801.801.802;3;0.59333333;1.351.351.351;;;7;0.25428571;315.315.315;;1;87;1;;;
35-44;unknown;135;135;1;1;1.77;1.77;1.311.048.526;4;0.44247888;2.962.962.963;16.90;0.740740741;6;0.29498592;444.444.444;;;64;1;29.92;1;176.991.551
45-54;male;115;115;1;;;1.73;1.504.461.148;1;173.013.032;0.869565217;;;4;0.43253258;347.826.087;1;;52;1;;;
18-24;male;96;241;2.510.416.667;;;1.73;717.842.324;3;0.57666667;1.244.813.278;;;3;0.57666667;124.481.328;;;113;;;;
18-24;male;160;231;144.375;;;1.70;735.949.808;5;0.34000881;2.164.502.165;;;6;0.28334068;25.974.026;;;91;1;;;
55-64;male;137;137;1;;;1.69;1.233.576.642;1;1.69;0.729927007;;;2;0.845;145.985.401;;;95;;;;
45-54;unknown;88;114;1.295.454.545;;;1.62;1.421.052.632;2;0.81;1.754.385.965;;;4;0.405;350.877.193;;;38;;;;
25-34;female;178;178;1;;;1.58;887.640.449;;;;;;0;;0;;;68;;;;
55-64;male;104;107;1.028.846.154;;;1.57;146.728.972;1;1.57;0.934579439;;;1;1.57;0.93457944;;;66;1;;;
65+;unknown;90;90;1;;;1.57;1.744.438.608;;;;;;1;156.999.475;111.111.111;;;23;;;;
18-24;male;209;209;1;;;1.53;732.057.416;3;0.51;1.435.406.699;;;6;0.255;28.708.134;;1;84;3;;;
25-34;unknown;80;192;2.4;;;1.50;78.125;3;0.5;15.625;;;5;0.3;260.416.667;;;75;1;;;
25-34;male;126;126;1;;;1.45;1.150.793.651;3;0.48333333;2.380.952.381;;;6;0.24166667;476.190.476;;1;51;;;;
18-24;male;108;118;1.092.592.593;;;1.44;1.220.391.773;1;144.006.229;0.847457627;;;2;0.72003115;169.491.525;;;50;;;;
65+;unknown;32;45;140.625;;;1.44;32;1;1.44;2.222.222.222;;;2;0.72;444.444.444;;;22;;;;
55-64;unknown;64;89;1.390.625;;;1.43;1.606.741.573;1;1.43;1.123.595.506;;;3;0.47666667;337.078.652;;1;43;;;;
18-24;male;176;206;1.170.454.545;;;1.39;674.757.282;4;0.3475;1.941.747.573;;;4;0.3475;194.174.757;;1;104;1;;;
55-64;unknown;32;96;3;;;1.36;1.416.666.667;3;0.45333333;3.125;;;4;0.34;416.666.667;;;42;;;;
55-64;male;80;80;1;;;1.35;16.875;;;;;;1;1.35;1.25;;;62;;;;
35-44;unknown;112;117;1.044.642.857;;;1.34;1.145.299.145;1;1.34;0.854700855;;;1;1.34;0.85470085;;;46;;;;
45-54;unknown;52;52;1;1;1.34;1.34;2.576.923.077;2;0.67;3.846.153.846;22.33;1.923.076.923;3;0.44666667;576.923.077;;1;31;;29.92;1;1.34
18-24;male;123;123;1;;;1.32;1.073.170.732;;;;;;2;0.66;162.601.626;;;59;1;;;
65+;unknown;64;87;1.359.375;;;1.31;1.505.747.126;1;1.31;1.149.425.287;;;3;0.43666667;344.827.586;;1;29;;;;
25-34;female;140;140;1;;;1.31;935.714.286;;;;;;0;;0;;1;48;2;;;
65+;male;53;53;1;;;1.29;2.433.962.264;2;0.645;3.773.584.906;;;3;0.43;566.037.736;;;34;1;;;
35-44;male;130;140;1.076.923.077;;;1.28;914.285.714;;;;;;2;0.64;142.857.143;;1;66;1;;;
18-24;male;104;121;1.163.461.538;;;1.28;105.785.124;3;0.42666667;2.479.338.843;;;7;0.18285714;578.512.397;;;52;;;1;1.28
45-54;unknown;72;93;1.291.666.667;;;1.27;1.365.591.398;2;0.635;2.150.537.634;;;2;0.635;215.053.763;;;47;;;1;1.27
