MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;653223;Bex Digital 20;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;633000;Bex Digital 9 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;1193210;Bex Digital 6 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;376076;Bex Digital 7 ;1/2/2019;779;8,15%;7,15%;Prioridad 4;
SOLES;511325;Bex Digital 6 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;806444;Bex Digital 11;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;203000;Bex Digital 5 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;351568;Bex Digital 3 ;1/8/2018;963;7,40%;6,40%;Prioridad 3;
SOLES;304791;Bex Digital 1;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;272300;Bex Digital 12;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;473162;Bex Digital 16;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;439033;Bex Digital 17;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;917209;Bex Digital 2 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;1177566;Bex Digital 12;1/6/2019;659;7,98%;6,98%;Prioridad 4;
SOLES;491859;Bex Digital 11;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;674164;Bex Digital 11;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;269850;Bex Digital 7 ;1/4/2019;720;8,05%;7,05%;Prioridad 4;
SOLES;679602;Bex Digital 11;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;280238;Bex Digital 10;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;589663;Bex Digital 14;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;880000;Bex Digital 2 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;484117;Bex Digital 19;1/2/2017;1509;8,57%;7,57%;Prioridad 4;
SOLES;527040;Bex Digital 18;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;210145;Bex Digital 13;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;233460;Bex Digital 18;1/12/2015;1937;8,54%;7,54%;Prioridad 1;
SOLES;236279;Bex Digital 5 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;258529;Bex Digital 12;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;221020;Bex Digital 16;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;222988;Bex Digital 6 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
