Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (costo por clic en el enlace);CTR (porcentaje de clics en el enlace);ROAS;Tasa de resultados;Clics (todos);CPC (todos);CTR (todos);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado;;;;;;;;
35-44;unknown;40;52;1.30;;;0.84;16.15384615;1;0.840;1.923;;;1;0.840;1.92;;;22;;;;;;;;;;;;
18-24;female;169;171;1.01;;;0.84;4.9122807;;;;;;1;0.840;0.58;;;48;;;;;;;;;;;;
65+;male;32;48;1.50;;;0.82;17.08377607;1;0.820;2.083;;;1;0.820;2.08;;;21;;;1;0.82;;;;;;;;
65+;male;78;78;1.00;;;0.82;10.51282051;;;;;;0;;0.00;;;44;;;;;;;;;;;;
25-34;unknown;68;68;1.00;;;0.79;11.61764706;;;;;;0;;0.00;;;23;;;;;;;;;;;;
25-34;female;81;82;1.01;1;0.79;0.79;9.63414634;2;0.395;2.439;44.20;1.219512195;2;0.395;2.44;;;34;;34.92;2;0.40;;;;;;;;
35-44;female;52;52;1.00;;;0.79;15.19230769;1;0.790;1.923;;;1;0.790;1.92;;;19;;;1;0.79;;;;;;;;
65+;male;40;41;1.03;;;0.78;19.0252132;2;0.390;4.878;;;3;0.260;7.32;;;20;;;;;;;;;;;;
65+;male;63;63;1.00;;;0.78;12.38095238;1;0.780;1.587;;;1;0.780;1.59;;;42;;;;;;;;;;;;
35-44;unknown;28;40;1.43;;;0.75;18.75;1;0.750;2.500;;;1;0.750;2.50;;;20;;;;;;;;;;;;
25-34;unknown;32;46;1.44;;;0.75;16.30434783;;;;;;0;;0.00;;;18;;;;;;;;;;;;
55-64;unknown;0;35;0.00;;;0.75;21.42754855;;;;;;0;;0.00;;;21;;;;;;;;;;;;
65+;male;40;59;1.48;;;0.74;12.54237288;2;0.370;3.390;;;5;0.148;8.47;1;;38;;;;;;;;;;;;
35-44;female;80;80;1.00;;;0.73;9.125;;;;;;0;;0.00;;;25;;;;;;;;;;;;
55-64;unknown;16;16;1.00;;;0.71;44.375;;;;;;0;;0.00;;;7;;;;;;;;;;;;
